epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.823,1.82135,1.81755,1.71735,0.34608,0.36228,0.29637,0.10996,2.33022,2.71886,2.06128,0.000663176,0.000663176,0.000663176
2,332.219,1.7896,1.58966,1.69081,0.28749,0.41856,0.20413,0.05866,2.40234,4.23875,2.17367,0.00128596,0.00128596,0.00128596
3,496.771,1.73478,1.49453,1.64255,0.50076,0.39278,0.40365,0.13992,2.23273,2.50954,1.95109,0.00186474,0.00186474,0.00186474
4,662.456,1.66173,1.4083,1.58629,0.60291,0.48837,0.4914,0.22053,1.94386,1.91205,1.79169,0.001802,0.001802,0.001802
5,829.28,1.61999,1.34864,1.56128,0.68252,0.57423,0.62779,0.27717,1.88118,1.75219,1.72817,0.001736,0.001736,0.001736
6,995.36,1.5475,1.23878,1.51314,0.73785,0.66495,0.73777,0.34859,1.82623,1.33232,1.64809,0.00167,0.00167,0.00167
7,1163.52,1.51745,1.16608,1.48893,0.77116,0.70928,0.78512,0.39268,1.72639,1.2174,1.61101,0.001604,0.001604,0.001604
8,1331.25,1.48019,1.12941,1.46572,0.70124,0.65258,0.70925,0.32,1.82568,1.35603,1.66141,0.001538,0.001538,0.001538
9,1498.4,1.43212,1.07922,1.43595,0.79271,0.66701,0.76686,0.39742,1.65731,1.28088,1.57202,0.001472,0.001472,0.001472
10,1665.41,1.42712,1.0508,1.44561,0.81335,0.71427,0.80274,0.37962,1.79365,1.20708,1.63665,0.001406,0.001406,0.001406
11,1830.16,1.40101,1.01875,1.43054,0.79833,0.68454,0.76794,0.35802,1.85688,1.19991,1.70967,0.00134,0.00134,0.00134
12,1996.32,1.37689,0.97806,1.40385,0.82679,0.7086,0.8183,0.44051,1.60212,1.09096,1.51148,0.001274,0.001274,0.001274
13,2162.54,1.33972,0.96244,1.39324,0.78475,0.72164,0.78864,0.40103,1.70288,1.19653,1.56307,0.001208,0.001208,0.001208
14,2328.13,1.32291,0.92333,1.3682,0.82842,0.73196,0.81584,0.44716,1.61828,1.09698,1.51777,0.001142,0.001142,0.001142
15,2494.24,1.30664,0.89953,1.36505,0.77775,0.71434,0.78229,0.41085,1.67986,1.16339,1.5666,0.001076,0.001076,0.001076
16,2659.74,1.27419,0.86962,1.347,0.82899,0.7433,0.84022,0.46818,1.55154,1.02346,1.49017,0.00101,0.00101,0.00101
17,2831.83,1.25361,0.83543,1.32897,0.79422,0.74803,0.81629,0.46283,1.56737,1.08956,1.5036,0.000944,0.000944,0.000944
18,2997.53,1.22758,0.80625,1.31981,0.82048,0.73976,0.81264,0.46176,1.56035,1.08902,1.48705,0.000878,0.000878,0.000878
19,3163.73,1.22067,0.81693,1.31755,0.84732,0.72165,0.83476,0.47365,1.53609,1.0919,1.47888,0.000812,0.000812,0.000812
20,3334.33,1.19994,0.7745,1.30218,0.84009,0.75155,0.84394,0.48276,1.51693,0.98754,1.4696,0.000746,0.000746,0.000746
21,3501.71,1.16888,0.73503,1.32565,0.80824,0.75155,0.82484,0.47367,1.53384,1.06854,1.49031,0.00068,0.00068,0.00068
22,3666.88,1.14008,0.67396,1.2972,0.84328,0.78247,0.86227,0.50523,1.50496,0.95392,1.4769,0.000614,0.000614,0.000614
23,3837.75,1.12208,0.65141,1.28935,0.85841,0.7625,0.8526,0.50997,1.47697,0.96858,1.4545,0.000548,0.000548,0.000548
24,4001.96,1.08739,0.62151,1.25965,0.84527,0.77938,0.85941,0.50724,1.46448,0.95364,1.46086,0.000482,0.000482,0.000482
25,4167.63,1.06377,0.607,1.24698,0.85052,0.80309,0.87032,0.50977,1.49061,0.88449,1.47337,0.000416,0.000416,0.000416
26,4333.85,1.04571,0.58007,1.23375,0.85402,0.8134,0.8774,0.52436,1.45664,0.90085,1.439,0.00035,0.00035,0.00035
27,4504.27,1.02872,0.56603,1.21441,0.84926,0.79278,0.8684,0.50224,1.51811,0.90701,1.50048,0.000284,0.000284,0.000284
28,4669.45,0.98924,0.53427,1.19618,0.84329,0.77668,0.85327,0.51828,1.45272,0.96532,1.46234,0.000218,0.000218,0.000218
29,4833.35,0.96716,0.51775,1.17971,0.86651,0.78963,0.87008,0.52262,1.46848,0.90626,1.46612,0.000152,0.000152,0.000152
30,4999.81,0.93754,0.49372,1.15641,0.85825,0.78969,0.8711,0.53061,1.45368,0.88967,1.4683,8.6e-05,8.6e-05,8.6e-05
