epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.177,1.64695,2.48414,1.60863,0.27448,0.31155,0.216,0.10375,1.85943,2.55569,1.68073,0.000332685,0.000332685,0.000332685
2,568.268,1.61644,2.0993,1.60509,0.32758,0.42793,0.32767,0.18176,1.74491,2.39926,1.63503,0.000652831,0.000652831,0.000652831
3,851.344,1.58068,2.02142,1.58258,0.30695,0.36427,0.28255,0.15385,1.80498,2.39234,1.62325,0.000959777,0.000959777,0.000959777
4,1128.57,1.51782,1.88034,1.53004,0.43135,0.4522,0.39036,0.22945,1.68883,2.10419,1.55835,0.0009406,0.0009406,0.0009406
5,1411.3,1.46385,1.80082,1.49255,0.52191,0.45125,0.41363,0.25021,1.61229,2.04775,1.51297,0.0009208,0.0009208,0.0009208
6,1693.6,1.40755,1.68155,1.45095,0.47083,0.47765,0.44787,0.27647,1.59767,1.83016,1.52783,0.000901,0.000901,0.000901
7,1987.22,1.37709,1.61864,1.43106,0.52907,0.49566,0.49099,0.30643,1.55055,1.71349,1.45323,0.0008812,0.0008812,0.0008812
8,2285.81,1.35118,1.56197,1.41524,0.54493,0.52392,0.52052,0.32627,1.5107,1.67986,1.44556,0.0008614,0.0008614,0.0008614
9,2583.61,1.31506,1.51398,1.38635,0.61869,0.53301,0.55201,0.34282,1.45452,1.5993,1.39627,0.0008416,0.0008416,0.0008416
10,2881.62,1.29492,1.46228,1.37046,0.52887,0.57071,0.54921,0.34473,1.44409,1.59437,1.41947,0.0008218,0.0008218,0.0008218
11,3174.27,1.27245,1.41578,1.3602,0.59771,0.58402,0.57482,0.37406,1.40741,1.52799,1.38281,0.000802,0.000802,0.000802
12,3466.03,1.25509,1.38287,1.34274,0.57311,0.60692,0.59972,0.38011,1.38931,1.48579,1.3682,0.0007822,0.0007822,0.0007822
13,3768.99,1.23842,1.3485,1.32884,0.62255,0.59527,0.60017,0.38273,1.41506,1.49885,1.35992,0.0007624,0.0007624,0.0007624
14,4061.94,1.22096,1.31074,1.31675,0.5932,0.60322,0.60476,0.39,1.40591,1.4443,1.36083,0.0007426,0.0007426,0.0007426
15,4354.56,1.19951,1.27111,1.3091,0.65543,0.61635,0.63082,0.40307,1.38512,1.39856,1.35396,0.0007228,0.0007228,0.0007228
16,4647.81,1.17933,1.23409,1.29349,0.63794,0.629,0.6462,0.41615,1.38313,1.37023,1.35518,0.000703,0.000703,0.000703
17,4940.54,1.16692,1.22134,1.28329,0.62861,0.64387,0.64455,0.42308,1.3465,1.34946,1.32908,0.0006832,0.0006832,0.0006832
18,5233.27,1.15104,1.17597,1.27024,0.6295,0.62876,0.64818,0.42605,1.33418,1.31594,1.32128,0.0006634,0.0006634,0.0006634
19,5526.41,1.13007,1.16627,1.25853,0.62076,0.65523,0.66115,0.43285,1.32711,1.28904,1.31418,0.0006436,0.0006436,0.0006436
20,5825.84,1.13019,1.13492,1.25482,0.64513,0.63422,0.65161,0.42751,1.32883,1.31761,1.31664,0.0006238,0.0006238,0.0006238
21,6118.64,1.11093,1.11664,1.24065,0.70084,0.6505,0.68615,0.45001,1.31259,1.24806,1.29325,0.000604,0.000604,0.000604
22,6411.63,1.0913,1.07497,1.23151,0.69573,0.66555,0.6867,0.44882,1.31849,1.24938,1.31803,0.0005842,0.0005842,0.0005842
23,6704.29,1.08907,1.06156,1.22194,0.73717,0.66688,0.70416,0.46735,1.27271,1.19737,1.28328,0.0005644,0.0005644,0.0005644
24,6997.66,1.07212,1.03929,1.21483,0.66267,0.68326,0.69495,0.46519,1.28254,1.20805,1.28417,0.0005446,0.0005446,0.0005446
25,7295.44,1.06903,1.02027,1.20941,0.70457,0.67239,0.70148,0.47589,1.2613,1.17561,1.275,0.0005248,0.0005248,0.0005248
26,7588.67,1.02972,0.97293,1.18963,0.72725,0.6866,0.72754,0.48473,1.24133,1.15529,1.27171,0.000505,0.000505,0.000505
27,7881.62,1.02571,0.96678,1.18594,0.70668,0.69329,0.72322,0.49087,1.24876,1.1501,1.26774,0.0004852,0.0004852,0.0004852
28,8179.37,1.01495,0.94174,1.17754,0.70327,0.70046,0.72397,0.48748,1.25521,1.12913,1.26469,0.0004654,0.0004654,0.0004654
29,8471.99,1.00363,0.92772,1.16865,0.72778,0.71034,0.73736,0.50325,1.21199,1.09315,1.24158,0.0004456,0.0004456,0.0004456
30,8765.26,0.99393,0.91308,1.16137,0.73698,0.69041,0.73095,0.50135,1.22638,1.0956,1.24825,0.0004258,0.0004258,0.0004258
31,9058.16,0.97447,0.87698,1.15147,0.75788,0.7029,0.74548,0.51156,1.20734,1.06579,1.23653,0.000406,0.000406,0.000406
32,9351.55,0.96368,0.86169,1.14093,0.7586,0.70114,0.74624,0.51363,1.20658,1.05721,1.23001,0.0003862,0.0003862,0.0003862
33,9644.57,0.95876,0.84541,1.14182,0.74701,0.71262,0.74634,0.51789,1.19748,1.05554,1.22578,0.0003664,0.0003664,0.0003664
34,9937.42,0.94498,0.83992,1.13076,0.73267,0.71568,0.74973,0.52169,1.18696,1.05132,1.22177,0.0003466,0.0003466,0.0003466
35,10231.2,0.93325,0.81996,1.12499,0.74078,0.7352,0.75822,0.52839,1.17748,1.02033,1.20667,0.0003268,0.0003268,0.0003268
36,10524.3,0.90965,0.78667,1.11388,0.76786,0.71409,0.76237,0.52803,1.19238,1.01034,1.22825,0.000307,0.000307,0.000307
37,10817.1,0.90612,0.78008,1.1098,0.78453,0.7063,0.76437,0.53487,1.17818,1.00935,1.21136,0.0002872,0.0002872,0.0002872
38,11110.3,0.89779,0.76032,1.09859,0.77151,0.71835,0.76454,0.53732,1.16713,0.99651,1.21012,0.0002674,0.0002674,0.0002674
39,11402.7,0.88313,0.74306,1.08812,0.76335,0.72671,0.77285,0.54053,1.1649,0.99096,1.20448,0.0002476,0.0002476,0.0002476
40,11696.4,0.87553,0.73335,1.08614,0.77644,0.73387,0.7715,0.54226,1.15397,0.98098,1.20111,0.0002278,0.0002278,0.0002278
