epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.246,1.69897,2.81721,1.58171,0.35574,0.37434,0.29679,0.1652,1.80048,2.26412,1.58403,0.000332685,0.000332685,0.000332685
2,332.179,1.60381,2.06181,1.51008,0.43782,0.38156,0.32786,0.18164,1.76893,2.4116,1.57769,0.000652831,0.000652831,0.000652831
3,493.164,1.56916,1.98358,1.49133,0.48888,0.44642,0.40319,0.24597,1.68729,2.0527,1.4882,0.000959777,0.000959777,0.000959777
4,658.473,1.51452,1.87108,1.446,0.45502,0.48139,0.4277,0.25639,1.61968,1.96692,1.47357,0.0009406,0.0009406,0.0009406
5,819.59,1.47624,1.78954,1.42014,0.50961,0.45199,0.44781,0.28238,1.64633,1.98091,1.46329,0.0009208,0.0009208,0.0009208
6,978.118,1.42252,1.68357,1.3808,0.48643,0.46503,0.44454,0.27367,1.60685,1.85429,1.44599,0.000901,0.000901,0.000901
7,1134.2,1.39679,1.63394,1.36771,0.53938,0.51834,0.49692,0.30727,1.54533,1.76776,1.39513,0.0008812,0.0008812,0.0008812
8,1290.08,1.36689,1.57602,1.34654,0.53287,0.51919,0.50059,0.30979,1.51492,1.74649,1.38351,0.0008614,0.0008614,0.0008614
9,1443.98,1.33419,1.5261,1.32331,0.56903,0.50562,0.52281,0.33276,1.49882,1.68836,1.35282,0.0008416,0.0008416,0.0008416
10,1598.78,1.31572,1.47585,1.31193,0.58559,0.54689,0.55171,0.3481,1.45402,1.62409,1.33835,0.0008218,0.0008218,0.0008218
11,1754.53,1.30167,1.44369,1.30519,0.57719,0.56469,0.57545,0.35846,1.50706,1.56944,1.35007,0.000802,0.000802,0.000802
12,1909.63,1.28476,1.41385,1.29506,0.57833,0.57811,0.57721,0.3649,1.45611,1.54088,1.34255,0.0007822,0.0007822,0.0007822
13,2064.83,1.26186,1.37052,1.27979,0.56399,0.59458,0.58633,0.36939,1.46323,1.5438,1.31644,0.0007624,0.0007624,0.0007624
14,2219.82,1.2462,1.34442,1.26791,0.5841,0.61202,0.61036,0.38746,1.38222,1.47087,1.28435,0.0007426,0.0007426,0.0007426
15,2374.7,1.22399,1.30601,1.25617,0.62513,0.60277,0.61831,0.39538,1.39387,1.44117,1.29806,0.0007228,0.0007228,0.0007228
16,2529.94,1.20702,1.27016,1.24333,0.59313,0.62889,0.61829,0.39104,1.42766,1.46376,1.30609,0.000703,0.000703,0.000703
17,2684.45,1.20056,1.25477,1.23787,0.62451,0.62007,0.63094,0.41398,1.3561,1.35898,1.27565,0.0006832,0.0006832,0.0006832
18,2839.51,1.18712,1.22192,1.22621,0.64035,0.6281,0.6353,0.40761,1.37583,1.3752,1.29196,0.0006634,0.0006634,0.0006634
19,2994.2,1.16999,1.21277,1.22238,0.64888,0.60698,0.63655,0.41499,1.36582,1.38029,1.27086,0.0006436,0.0006436,0.0006436
20,3150.28,1.15832,1.17437,1.21153,0.64735,0.63487,0.64936,0.42127,1.36381,1.35628,1.2757,0.0006238,0.0006238,0.0006238
21,3304.68,1.13994,1.15363,1.19743,0.67816,0.64102,0.66461,0.43807,1.32463,1.30885,1.24457,0.000604,0.000604,0.000604
22,3459.72,1.12873,1.12949,1.18982,0.68295,0.63384,0.66338,0.43937,1.3098,1.31573,1.25785,0.0005842,0.0005842,0.0005842
23,3613.8,1.12359,1.1022,1.18199,0.64987,0.6697,0.68657,0.44923,1.29541,1.25914,1.24247,0.0005644,0.0005644,0.0005644
24,3767.96,1.10372,1.08285,1.17935,0.66467,0.65182,0.68123,0.44868,1.29747,1.23928,1.24269,0.0005446,0.0005446,0.0005446
25,3921.81,1.10529,1.06478,1.16996,0.70072,0.67079,0.7018,0.46558,1.27759,1.23632,1.23282,0.0005248,0.0005248,0.0005248
26,4076.53,1.06992,1.02058,1.1538,0.70413,0.67359,0.70318,0.46945,1.25993,1.19718,1.22124,0.000505,0.000505,0.000505
27,4231.55,1.06808,1.0202,1.15303,0.71069,0.68876,0.71155,0.46517,1.28606,1.22147,1.23625,0.0004852,0.0004852,0.0004852
28,4386.09,1.0582,0.99833,1.14463,0.72066,0.67457,0.71052,0.47714,1.26678,1.17207,1.21918,0.0004654,0.0004654,0.0004654
29,4541.28,1.04784,0.97723,1.13877,0.70501,0.67986,0.71056,0.47914,1.26367,1.1616,1.2102,0.0004456,0.0004456,0.0004456
30,4696.96,1.04582,0.97147,1.13601,0.70679,0.68445,0.71731,0.47537,1.27754,1.14989,1.21018,0.0004258,0.0004258,0.0004258
31,4853.08,1.02224,0.93715,1.12259,0.73467,0.69002,0.73388,0.49428,1.23306,1.13489,1.19399,0.000406,0.000406,0.000406
32,5008.31,1.0125,0.92707,1.11471,0.73322,0.70044,0.7323,0.48562,1.27096,1.11998,1.21107,0.0003862,0.0003862,0.0003862
33,5162.73,1.00724,0.90411,1.11205,0.73866,0.68705,0.72839,0.49483,1.24002,1.1257,1.20022,0.0003664,0.0003664,0.0003664
34,5317.56,0.99988,0.90351,1.10595,0.73879,0.70672,0.73988,0.49723,1.23667,1.10331,1.19681,0.0003466,0.0003466,0.0003466
35,5472.1,0.99412,0.886,1.10276,0.71355,0.70452,0.74077,0.50299,1.22767,1.08683,1.19295,0.0003268,0.0003268,0.0003268
